pmm,smm,vmm,exclude,deceased,first_name,nick_name,last_name,organization_name,total_donations,total_pledge,largest_gift,largest_gift_appeal,first_gift_date,last_gift_date,last_gift_amount,last_gift_request,last_gift_appeal,address_line1,address_line2,city,contact_phone_type,phone_restrictions,email_restrictions,communication_restrictions,subscription_events_in_person,subscription_events_magazine,communication_preference
Parvati Patel,Bob Brown,Priya Gupta,no,no,Bob,,Lee,,875083,786639,258486,Appeal2,1712856088,921357636,19190,1739284828,Appeal1,303 Elm Drive,Unit 333,Surrey,Home,No Mass Appeals,No Mass Appeals,,Opt-out,Opt-in,Appeal
Hiroshi Nakamura,Alice Smith,Olga Smirnov,yes,no,Yuki,,Ahmed,,0,482265,0,Appeal1,0,0,0,1723685174,Appeal3,898 Willowwood Road,Apt 222,Coquitlam,Home,No Mass Communications,No Mass Appeals,,Opt-out,Opt-out,Inspiration event
Parvati Patel,Bob Brown,Priya Gupta,no,no,Chao,Peach,Cohen,,841891,287503,20704,Appeal1,1599517786,1530580848,7032,1722850408,Appeal1,1414 Sycamorewood Avenue,Apt 909,West Vancouver,Home,No Surveys,No Mass Communications,No Mass Communications,Opt-out,Opt-out,Appeal
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Hiroshi,,??????,,0,431672,0,Appeal3,0,0,0,1718984478,Appeal2,555 Hickory Drive,,Salmon Arm,Home,No Mass Communications,No Surveys,No Surveys,Opt-in,Opt-out,
Hiroshi Nakamura,Alice Smith,Priya Gupta,no,no,Peter,,??,Whimsy Works,0,956391,0,Appeal1,0,0,0,1738382885,Appeal1,555 Hickory Drive,,Surrey,Mobile,Do Not Call,No Surveys,No Mass Appeals,Opt-out,Opt-out,Thank you
Hiroshi Nakamura,Bob Brown,Olga Smirnov,yes,no,Alice,,Ahmed,,0,223662,0,Appeal2,0,0,0,1726102619,Appeal2,808 Cypress Place,Apt 444,Vancouver,Home,,No Mass Communications,No Surveys,Opt-out,Opt-out,Newsletter
Hiroshi Nakamura,Bob Brown,Olga Smirnov,yes,no,Juan,Love,Smith,,67804,357676,51347,Appeal1,1666824414,1308635565,17101,1728389337,Appeal2,303 Elm Drive,Apt 909,West Vancouver,Work,No Surveys,No Surveys,,Opt-in,Opt-in,Thank you
Parvati Patel,Alice Smith,Priya Gupta,yes,no,Bob,,Silva,,0,211918,0,Appeal3,0,0,0,1724986494,Appeal3,787 Sprucewood Drive,Unit 333,West Vancouver,Home,Do Not Call,No Mass Communications,No Mass Appeals,Opt-in,Opt-in,Survey
Gurtrude Schmidt,John Doe,Sven Müller,no,no,Amina,Darling,López,,0,0,0,Appeal3,0,0,0,1716583404,Appeal1,121 Maplewood Place,,Victoria,Home,,No Surveys,,Opt-in,Opt-in,Inspiration event
Gurtrude Schmidt,John Doe,Sven Müller,no,no,Yuki,Sugar,Brown,,0,266387,0,Appeal1,0,0,0,1711987652,Appeal1,1515 Magnoliawood Lane,Apt 222,Courtenay,Work,No Mass Appeals,No Mass Appeals,,Opt-in,Opt-out,Appeal
Gurtrude Schmidt,John Doe,Chao Nguyen,no,no,Fatima,Peach,Hernández,,946653,916153,678693,Appeal3,1601636484,1399427556,55192,1724807156,Appeal2,999 Alder Terrace,Apt 121,Parksville,Work,No Surveys,No Mass Appeals,No Surveys,Opt-in,Opt-out,Holiday Card
Parvati Patel,Bob Brown,Olga Smirnov,yes,no,Chao,,??????,,246896,281507,67394,Appeal1,1677778419,760888066,55949,1718579191,Appeal3,1919 Laurelwood Road,Apt 909,Richmond,Work,No Surveys,No Mass Appeals,No Surveys,Opt-out,Opt-in,
Hiroshi Nakamura,Bob Brown,Priya Gupta,no,no,Priya,,Öztürk,,661036,609421,288311,Appeal2,1637377131,1179975561,284383,1709478302,Appeal1,777 Laurel Way,Unit 999,Abbotsford,Home,,No Mass Appeals,,Opt-in,Opt-out,Inspiration event
Hiroshi Nakamura,Bob Brown,Priya Gupta,no,no,Carlos,,Müller,,561753,248293,200957,Appeal3,1675990566,32646518,111763,1728890503,Appeal1,789 Pine Lane,,Maple Ridge,Work,,No Mass Appeals,No Mass Appeals,Opt-out,Opt-out,
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,Amina,Sunshine,Kim,,0,624633,0,Appeal1,0,0,0,1722711571,Appeal2,909 Aspenwood Way,Apt 565,Kamloops,Mobile,No Mass Appeals,,No Mass Appeals,Opt-out,Opt-in,Thank you
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,Juan,,Jones,,557528,830753,382591,Appeal1,1725590347,159342418,293739,1734838800,Appeal2,1414 Sycamorewood Avenue,,Salmon Arm,Work,No Mass Appeals,No Mass Appeals,,Opt-out,Opt-in,Inspiration event
Hiroshi Nakamura,Alice Smith,Olga Smirnov,yes,no,Zainab,,Chen,,622414,697300,377816,Appeal3,1609346410,432444689,21271,1719622757,Appeal2,898 Willowwood Road,Apt 121,Richmond,Mobile,No Mass Communications,No Mass Appeals,,Opt-in,Opt-out,Inspiration event
Parvati Patel,Bob Brown,Olga Smirnov,no,no,Sven,,Lee,,526673,0,253571,Appeal3,1585444696,328834050,197319,1727535571,Appeal3,777 Laurel Way,,Maple Ridge,Mobile,No Mass Communications,Do Not Email,No Mass Communications,Opt-out,Opt-out,Thank you
Parvati Patel,Alice Smith,Olga Smirnov,no,no,Mei,,Chen,,0,142771,0,Appeal3,0,0,0,1711987732,Appeal1,1313 Poplarwood Street,Unit 555,Delta,Work,No Mass Communications,No Surveys,Do Not Email,Opt-in,Opt-out,
Hiroshi Nakamura,Bob Brown,Olga Smirnov,yes,no,Ingrid,Babe,García,,404287,0,84156,Appeal1,1630965301,1470240904,86572,1721991335,Appeal3,1717 Hickorywood Court,Unit 606,Port Coquitlam,Work,No Mass Appeals,Do Not Email,No Mass Appeals,Opt-in,Opt-in,Newsletter
Hiroshi Nakamura,Bob Brown,Olga Smirnov,no,no,Leila,,Brown,,877890,870752,873291,Appeal1,1614802400,1293041738,788561,1715816357,Appeal3,1111 Cypresswood Terrace,,Richmond,Mobile,No Surveys,No Mass Appeals,No Surveys,Opt-out,Opt-in,Survey
Parvati Patel,Alice Smith,Olga Smirnov,yes,no,Alice,,Williams,,120469,738713,92690,Appeal1,1736712157,525618458,10506,1721477334,Appeal2,1414 Sycamorewood Avenue,Unit 808,Richmond,Mobile,No Mass Communications,No Mass Communications,,Opt-in,Opt-out,Appeal
Peter Smith,John Doe,Sven Müller,no,no,Hiroshi,,Lee,,116212,0,102966,Appeal2,1625700553,671763058,53165,1727809834,Appeal2,222 Sycamore Lane,,Saanich,Work,No Mass Communications,No Surveys,,Opt-out,Opt-in,
Parvati Patel,Alice Smith,Olga Smirnov,yes,no,John,Buttercup,??,Jester Jamboree,0,0,0,Appeal3,0,0,0,1737409382,Appeal1,222 Sycamore Lane,,Richmond,Mobile,Do Not Call,Do Not Email,No Mass Appeals,Opt-out,Opt-out,Inspiration event
Gurtrude Schmidt,Jane Doe,Sven Müller,no,no,Ingrid,Love,Lee,Mirthful Manufacturing,170478,402417,84496,Appeal3,1712695628,649114286,38543,1737821862,Appeal3,456 Oak Avenue,Unit 404,Saanich,Mobile,,No Mass Communications,No Mass Appeals,Opt-out,Opt-out,Event
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Zainab,,López,,0,951162,0,Appeal2,0,0,0,1738444113,Appeal3,909 Aspenwood Way,,Williams Lake,Mobile,,Do Not Email,No Mass Appeals,Opt-in,Opt-out,Inspiration event
Peter Smith,Jane Doe,Chao Nguyen,no,no,Hassan,,Jones,,356059,968487,65833,Appeal1,1641566743,1226180461,44279,1728126233,Appeal1,808 Cypress Place,Apt 121,Courtenay,Home,No Mass Appeals,Do Not Email,No Surveys,Opt-in,Opt-in,Event
Parvati Patel,Alice Smith,Priya Gupta,yes,no,Olga,,Smith,,0,0,0,Appeal1,0,0,0,1733704719,Appeal2,1212 Firwood Place,Unit 898,Vancouver,Home,No Mass Communications,No Mass Appeals,No Mass Communications,Opt-out,Opt-in,Appeal
Parvati Patel,Alice Smith,Olga Smirnov,no,no,Sven,Darling,??,,0,912420,0,Appeal2,0,0,0,1729551756,Appeal2,707 Redwood Terrace,,Burnaby,Work,,Do Not Email,Do Not Email,Opt-out,Opt-in,Event
Gurtrude Schmidt,Jane Doe,Sven Müller,no,no,Leila,Cutie,Öztürk,,0,0,0,Appeal3,0,0,0,1722328977,Appeal1,222 Sycamore Lane,Unit 898,Courtenay,Home,Do Not Call,No Mass Appeals,,Opt-out,Opt-out,Magazine
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,Leila,,??,Goofy Gadgets,642121,961889,609966,Appeal2,1738044378,949694054,33481,1719797631,Appeal3,444 Dogwood Court,,Williams Lake,Home,,No Mass Appeals,No Mass Appeals,Opt-in,Opt-in,Holiday Card
Gurtrude Schmidt,Jane Doe,Sven Müller,no,no,Maria,Sugar,?,,138925,591471,94908,Appeal1,1686692699,1033647756,55507,1738383179,Appeal3,777 Laurel Way,,Courtenay,Work,No Mass Appeals,Do Not Email,Do Not Email,Opt-in,Opt-in,Magazine
Hiroshi Nakamura,Bob Brown,Priya Gupta,yes,no,Jane,,Müller,,0,882591,0,Appeal1,0,0,0,1722942831,Appeal2,1919 Laurelwood Road,Unit 202,Burnaby,Work,No Mass Appeals,No Mass Appeals,No Surveys,Opt-in,Opt-out,Research update
Parvati Patel,Alice Smith,Olga Smirnov,no,no,Priya,Buttercup,Kumar,,0,924308,0,Appeal3,0,0,0,1733008626,Appeal1,666 Juniper Road,Unit 232,Coquitlam,Mobile,No Mass Appeals,Do Not Email,No Mass Appeals,Opt-in,Opt-out,Magazine
Peter Smith,John Doe,Sven Müller,no,no,Chao,,Jones,,0,380889,0,Appeal3,0,0,0,1733095042,Appeal2,909 Aspenwood Way,Unit 202,Victoria,Mobile,No Mass Communications,No Mass Appeals,Do Not Email,Opt-out,Opt-out,
Gurtrude Schmidt,Jane Doe,Chao Nguyen,yes,no,Juan,,García,,0,0,0,Appeal3,0,0,0,1711819076,Appeal3,202 Cedar Court,Apt 303,Parksville,Work,No Mass Appeals,Do Not Email,No Mass Communications,Opt-in,Opt-in,Event
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Carlos,Precious,?,,66660,725743,5762,Appeal1,1636991582,780052768,25136,1715355113,Appeal1,123 Maple Street,Unit 404,Salmon Arm,Work,No Mass Appeals,No Mass Communications,Do Not Email,Opt-out,Opt-out,Holiday Card
Hiroshi Nakamura,Alice Smith,Priya Gupta,yes,no,Carlos,,Müller,,185988,273167,7436,Appeal3,1608073809,1099736968,84589,1729348817,Appeal3,111 Poplar Avenue,Unit 333,Richmond,Work,No Mass Communications,Do Not Email,Do Not Email,Opt-in,Opt-in,Event
Hiroshi Nakamura,Alice Smith,Priya Gupta,no,no,Jane,,Nakamura,,921812,119740,799645,Appeal3,1610055125,552761951,579262,1734218244,Appeal1,101 Birch Boulevard,,Maple Ridge,Work,Do Not Call,No Mass Appeals,,Opt-in,Opt-out,Event
Peter Smith,Jane Doe,Chao Nguyen,yes,no,Amina,,??????,,334886,5220,274566,Appeal3,1685868194,1238521674,57111,1719208177,Appeal3,1313 Poplarwood Street,Apt 505,Saanich,Work,Do Not Call,,No Surveys,Opt-in,Opt-out,Event
Parvati Patel,Bob Brown,Priya Gupta,yes,no,Mei,Peach,?,,0,194322,0,Appeal2,0,0,0,1734146794,Appeal3,565 Cedarwood Boulevard,Unit 454,Abbotsford,Mobile,,No Mass Appeals,,Opt-in,Opt-out,Appeal
Gurtrude Schmidt,John Doe,Chao Nguyen,yes,no,Olga,Doll,Smirnov,,0,0,0,Appeal1,0,0,0,1714808890,Appeal3,909 Aspenwood Way,,Victoria,Mobile,No Surveys,No Mass Communications,No Mass Appeals,Opt-out,Opt-out,Survey
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,Juan,Champ,Müller,,596755,0,358203,Appeal2,1594304143,885679011,348650,1739231031,Appeal3,898 Willowwood Road,Unit 404,Kamloops,Home,,No Surveys,Do Not Email,Opt-out,Opt-in,Thank you
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Peter,,Smirnov,,685025,805465,456577,Appeal2,1629308952,1490659109,196607,1709295391,Appeal2,808 Cypress Place,Apt 909,Salmon Arm,Home,No Mass Communications,No Mass Appeals,No Mass Communications,Opt-out,Opt-out,Survey
Peter Smith,Jane Doe,Chao Nguyen,yes,no,Chao,,Nguyen,,0,680351,0,Appeal2,0,0,0,1727832258,Appeal3,555 Hickory Drive,Apt 343,Nanaimo,Mobile,,Do Not Email,No Mass Appeals,Opt-in,Opt-in,Newsletter
Hiroshi Nakamura,Bob Brown,Olga Smirnov,no,no,Dimitri,,Chen,,814634,302666,341524,Appeal2,1730700954,404193209,326341,1727773970,Appeal3,456 Oak Avenue,,Richmond,Home,Do Not Call,No Mass Appeals,No Mass Communications,Opt-in,Opt-in,Appeal
Hiroshi Nakamura,Bob Brown,Olga Smirnov,yes,no,Sven,Sunshine,Nakamura,Jokester Junction,830855,0,527227,Appeal2,1712863197,17169803,47773,1734673056,Appeal2,456 Oak Avenue,Apt 303,North Vancouver,Home,,No Mass Communications,No Mass Appeals,Opt-in,Opt-out,
Parvati Patel,Bob Brown,Olga Smirnov,no,no,Sven,,Smirnov,,942318,927894,691831,Appeal1,1681036308,1233872845,229829,1722113936,Appeal3,909 Fir Street,,Burnaby,Work,,No Mass Appeals,No Mass Appeals,Opt-out,Opt-out,Magazine
Parvati Patel,Bob Brown,Olga Smirnov,no,no,Chao,Angel,Chen,,0,141647,0,Appeal1,0,0,0,1710209581,Appeal2,565 Cedarwood Boulevard,,New Westminster,Work,Do Not Call,No Mass Appeals,No Surveys,Opt-in,Opt-out,Newsletter
Peter Smith,John Doe,Chao Nguyen,no,no,Chao,,??,,0,172467,0,Appeal1,0,0,0,1734401090,Appeal2,121 Maplewood Place,,Campbell River,Home,,No Mass Appeals,Do Not Email,Opt-out,Opt-in,Survey
Parvati Patel,Bob Brown,Olga Smirnov,yes,no,John,,Smirnov,,0,231564,0,Appeal1,0,0,0,1739113289,Appeal1,101 Birch Boulevard,Apt 101,Surrey,Work,No Mass Appeals,Do Not Email,Do Not Email,Opt-in,Opt-in,Holiday Card
Hiroshi Nakamura,Bob Brown,Priya Gupta,yes,no,Rajesh,Peach,López,,588545,188846,10160,Appeal2,1678962909,1130188495,8504,1729104084,Appeal3,787 Sprucewood Drive,,Langley,Work,Do Not Call,No Surveys,No Mass Appeals,Opt-in,Opt-in,Survey
Parvati Patel,Alice Smith,Priya Gupta,yes,no,Priya,Precious,Silva,,735156,0,128596,Appeal3,1714732933,1064365611,28104,1719466171,Appeal3,456 Oak Avenue,,Port Coquitlam,Work,No Surveys,No Mass Appeals,No Mass Appeals,Opt-out,Opt-out,Research update
Hiroshi Nakamura,Alice Smith,Olga Smirnov,no,no,Chao,Snookums,??,,740972,0,220869,Appeal1,1698817569,1458196938,16033,1717151311,Appeal2,1212 Firwood Place,,Coquitlam,Mobile,No Mass Communications,,No Mass Communications,Opt-in,Opt-in,Thank you
Parvati Patel,Bob Brown,Priya Gupta,no,no,Hassan,Sugar,Nguyen,,988919,627468,393991,Appeal1,1706352004,1342075635,104596,1719081915,Appeal3,1717 Hickorywood Court,Apt 222,Surrey,Home,Do Not Call,No Mass Appeals,No Mass Appeals,Opt-in,Opt-in,Newsletter
Peter Smith,Jane Doe,Sven Müller,yes,no,Hiroshi,Buddy,Nguyen,Nonsense Enterprises,0,819869,0,Appeal2,0,0,0,1731655854,Appeal3,789 Pine Lane,,Parksville,Home,,No Mass Appeals,No Mass Appeals,Opt-out,Opt-in,Magazine
Parvati Patel,Alice Smith,Priya Gupta,yes,no,Yuki,Pumpkin,Nakamura,,896033,384822,53597,Appeal2,1683931080,388753402,463319,1713836315,Appeal1,232 Oakwood Street,,Abbotsford,Work,,Do Not Email,,Opt-in,Opt-out,Inspiration event
Parvati Patel,Bob Brown,Priya Gupta,no,no,Amina,,??????,,0,951967,0,Appeal3,0,0,0,1726700619,Appeal3,202 Cedar Court,,Langley,Mobile,,,No Mass Appeals,Opt-in,Opt-in,
Peter Smith,John Doe,Sven Müller,yes,no,Sergei,,Kim,,239841,535907,72116,Appeal3,1607578911,522127537,109947,1720596728,Appeal3,111 Poplar Avenue,,Campbell River,Work,,No Surveys,No Mass Appeals,Opt-out,Opt-out,Survey
Gurtrude Schmidt,Jane Doe,Chao Nguyen,no,no,Priya,,González,,437217,534261,129344,Appeal3,1703858410,1504166264,29679,1711013161,Appeal1,232 Oakwood Street,,Courtenay,Work,,No Mass Appeals,No Mass Appeals,Opt-in,Opt-out,Appeal
Gurtrude Schmidt,Jane Doe,Chao Nguyen,yes,no,Hiroshi,,Jones,,584588,148683,392846,Appeal1,1600823873,1042039325,211636,1724447451,Appeal1,1212 Firwood Place,Apt 121,Victoria,Home,No Mass Communications,No Surveys,,Opt-out,Opt-in,Appeal
Gurtrude Schmidt,John Doe,Sven Müller,no,no,Ingrid,,Gupta,Whimsy Works,662051,407611,582229,Appeal2,1629040643,1505568313,59513,1714430056,Appeal2,565 Cedarwood Boulevard,,Saanich,Mobile,Do Not Call,No Surveys,No Mass Appeals,Opt-out,Opt-in,Appeal
Parvati Patel,Alice Smith,Olga Smirnov,yes,no,Hiroshi,Doll,López,Gag Gifts Galore,507595,312633,302417,Appeal1,1637007060,1554564591,15602,1713705754,Appeal1,606 Aspen Circle,,Maple Ridge,Work,No Surveys,No Surveys,No Mass Communications,Opt-out,Opt-out,Survey
Gurtrude Schmidt,John Doe,Sven Müller,no,no,Chao,,Nakamura,,66346,346671,18942,Appeal1,1637811315,592379946,25267,1738562841,Appeal3,1111 Cypresswood Terrace,,Campbell River,Mobile,No Mass Communications,,No Mass Appeals,Opt-in,Opt-in,
Peter Smith,Jane Doe,Chao Nguyen,yes,no,Peter,,??????,,0,608646,0,Appeal1,0,0,0,1710527798,Appeal2,202 Cedar Court,Unit 606,Campbell River,Home,,,No Mass Communications,Opt-out,Opt-in,Event
Hiroshi Nakamura,Alice Smith,Priya Gupta,yes,no,Rajesh,Precious,Ahmed,,742672,779099,62777,Appeal1,1671332877,1255299071,336212,1717178473,Appeal2,222 Sycamore Lane,,Maple Ridge,Mobile,No Mass Communications,Do Not Email,No Surveys,Opt-out,Opt-out,Holiday Card
Peter Smith,Jane Doe,Chao Nguyen,yes,no,Dimitri,,?,,0,59390,0,Appeal2,0,0,0,1736782017,Appeal1,222 Sycamore Lane,Apt 909,Victoria,Home,Do Not Call,No Surveys,Do Not Email,Opt-in,Opt-in,Newsletter
Gurtrude Schmidt,John Doe,Sven Müller,no,no,Carlos,,Hernández,,193201,1510,89286,Appeal3,1677549012,8089763,3597,1715104809,Appeal2,808 Cypress Place,Unit 555,Victoria,Home,No Surveys,,No Surveys,Opt-out,Opt-out,
Peter Smith,Jane Doe,Sven Müller,yes,no,Bob,,Müller,,62550,162219,1026,Appeal3,1664745195,1645485609,12265,1739010153,Appeal2,666 Juniper Road,,Campbell River,Mobile,,,No Surveys,Opt-in,Opt-in,Event
Parvati Patel,Bob Brown,Olga Smirnov,no,no,Sven,,Smith,,507782,261579,440182,Appeal2,1689149582,935161155,84529,1738741532,Appeal3,909 Aspenwood Way,Apt 303,Langley,Mobile,,,,Opt-out,Opt-out,Holiday Card
Peter Smith,Jane Doe,Sven Müller,yes,no,Olga,,Smith,,630174,387013,287633,Appeal3,1718828226,1738311130,183329,1710210423,Appeal1,999 Alder Terrace,Unit 606,Victoria,Mobile,Do Not Call,,Do Not Email,Opt-in,Opt-in,Event
Gurtrude Schmidt,Jane Doe,Chao Nguyen,yes,no,Amina,Champ,Cohen,,359680,739280,206116,Appeal1,1603426363,1419816787,46380,1739278128,Appeal3,303 Elm Drive,Unit 777,Nanaimo,Work,No Mass Communications,,No Surveys,Opt-out,Opt-out,Newsletter
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Ahmed,,Nakamura,,0,543374,0,Appeal2,0,0,0,1727182815,Appeal1,343 Pinewood Avenue,Apt 343,Williams Lake,Work,No Surveys,No Mass Appeals,No Surveys,Opt-in,Opt-in,Inspiration event
Gurtrude Schmidt,Jane Doe,Sven Müller,no,no,Zainab,,Jones,,218886,0,65990,Appeal1,1599683018,1227351171,92833,1709314208,Appeal3,909 Aspenwood Way,Unit 808,Victoria,Home,Do Not Call,No Surveys,,Opt-out,Opt-out,Appeal
Hiroshi Nakamura,Alice Smith,Priya Gupta,yes,no,Fatima,,Ahmed,,410,9291,37,Appeal1,1619206052,229693027,123,1717193639,Appeal2,808 Cypress Place,Apt 121,Delta,Work,No Mass Appeals,No Mass Communications,Do Not Email,Opt-in,Opt-out,Inspiration event
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Yuki,Darling,Lee,Giggle Goods,151266,105794,108044,Appeal1,1604440079,1201542899,58522,1725469521,Appeal1,202 Cedar Court,Unit 333,Kelowna,Work,No Mass Appeals,No Mass Appeals,,Opt-out,Opt-in,Holiday Card
Parvati Patel,Alice Smith,Priya Gupta,yes,no,Carlos,,Smith,Gag Gifts Galore,460432,466452,239060,Appeal2,1681773512,1093161434,28074,1711086140,Appeal2,1212 Firwood Place,Apt 565,New Westminster,Mobile,,No Mass Appeals,,Opt-in,Opt-in,
Peter Smith,Jane Doe,Sven Müller,yes,no,Maria,Babe,Brown,,998230,366060,841555,Appeal1,1709702572,1527702455,607364,1738421667,Appeal1,444 Dogwood Court,Apt 101,Parksville,Home,Do Not Call,No Mass Appeals,Do Not Email,Opt-in,Opt-out,Inspiration event
Hiroshi Nakamura,Bob Brown,Priya Gupta,no,no,Hiroshi,,??????,,0,0,0,Appeal1,0,0,0,1739662183,Appeal2,404 Spruce Road,Unit 454,White Rock,Work,No Mass Communications,No Mass Appeals,,Opt-out,Opt-out,
Parvati Patel,Alice Smith,Priya Gupta,yes,no,Mei,,González,,0,0,0,Appeal1,0,0,0,1724026070,Appeal2,787 Sprucewood Drive,,White Rock,Mobile,No Mass Communications,,Do Not Email,Opt-out,Opt-in,Survey
Hiroshi Nakamura,Alice Smith,Olga Smirnov,no,no,Hiroshi,,Williams,,0,27513,0,Appeal2,0,0,0,1710903108,Appeal1,333 Magnolia Boulevard,Unit 454,Port Coquitlam,Work,No Mass Appeals,No Surveys,No Mass Communications,Opt-in,Opt-out,Holiday Card
Hiroshi Nakamura,Alice Smith,Priya Gupta,no,no,Zainab,Precious,Smith,,874087,945918,554495,Appeal3,1631107749,1553352100,63514,1729853517,Appeal2,1313 Poplarwood Street,Unit 454,Vancouver,Mobile,No Mass Communications,No Surveys,Do Not Email,Opt-out,Opt-out,Event
Parvati Patel,Bob Brown,Priya Gupta,yes,no,Peter,Dear,Silva,,547824,775368,372622,Appeal1,1608125792,773620227,4989,1734427396,Appeal1,1010 Redwoodwood Circle,Apt 565,Port Coquitlam,Mobile,No Surveys,No Mass Communications,,Opt-in,Opt-in,Thank you
Parvati Patel,Bob Brown,Priya Gupta,no,no,Sven,,Chen,,0,41215,0,Appeal3,0,0,0,1729906777,Appeal3,101 Birch Boulevard,Apt 444,North Vancouver,Home,No Mass Appeals,Do Not Email,No Mass Communications,Opt-in,Opt-in,Thank you
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Sergei,,Gupta,,818853,0,393527,Appeal3,1589058946,1473448091,197338,1719960449,Appeal2,444 Dogwood Court,,Williams Lake,Home,No Mass Communications,Do Not Email,No Mass Appeals,Opt-out,Opt-out,Holiday Card
Hiroshi Nakamura,Bob Brown,Olga Smirnov,no,no,Sergei,,García,,365519,63346,280561,Appeal2,1589732725,637479405,84524,1731981411,Appeal3,333 Magnolia Boulevard,Unit 555,Surrey,Work,No Surveys,No Mass Communications,No Mass Communications,Opt-out,Opt-in,Appeal
Gurtrude Schmidt,John Doe,Sven Müller,no,no,Leila,Honey,Singh,,0,967450,0,Appeal2,0,0,0,1738552650,Appeal3,999 Alder Terrace,,Nanaimo,Home,No Mass Communications,No Mass Communications,Do Not Email,Opt-in,Opt-out,
Hiroshi Nakamura,Bob Brown,Olga Smirnov,yes,no,Ingrid,,Silva,,0,0,0,Appeal1,0,0,0,1737400672,Appeal2,333 Magnolia Boulevard,Unit 232,White Rock,Home,No Surveys,No Mass Communications,No Mass Communications,Opt-out,Opt-out,Research update
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,Alice,Beloved,Müller,,0,0,0,Appeal1,0,0,0,1717575540,Appeal2,707 Redwood Terrace,Apt 222,Prince George,Mobile,Do Not Call,Do Not Email,,Opt-out,Opt-in,Thank you
Hiroshi Nakamura,Bob Brown,Priya Gupta,yes,no,Rajesh,Champ,Müller,,296317,805221,85006,Appeal2,1678853510,181920683,78349,1709252296,Appeal2,666 Juniper Road,,Vancouver,Mobile,No Mass Appeals,No Mass Appeals,No Mass Appeals,Opt-out,Opt-in,Magazine
Parvati Patel,Alice Smith,Priya Gupta,yes,no,Amina,,López,,0,554936,0,Appeal2,0,0,0,1729896286,Appeal2,1818 Juniperwood Drive,Apt 707,Port Coquitlam,Mobile,,,No Mass Appeals,Opt-out,Opt-in,Appeal
Hiroshi Nakamura,Alice Smith,Priya Gupta,no,no,Rajesh,,?,,0,732722,0,Appeal3,0,0,0,1732839304,Appeal3,898 Willowwood Road,Unit 676,Burnaby,Work,,Do Not Email,No Surveys,Opt-out,Opt-in,Holiday Card
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,Zainab,,Brown,,483095,726981,138230,Appeal3,1645935353,1255338776,123165,1710748707,Appeal3,789 Pine Lane,Unit 808,Vernon,Work,,No Mass Appeals,,Opt-out,Opt-in,Holiday Card
Parvati Patel,Alice Smith,Olga Smirnov,yes,no,Ingrid,Babe,Cohen,Gag Gifts Galore,504420,205937,178628,Appeal2,1721031281,886178730,20186,1725655667,Appeal1,303 Elm Drive,Unit 606,North Vancouver,Mobile,,No Surveys,No Mass Communications,Opt-out,Opt-in,Inspiration event
Peter Smith,Jane Doe,Chao Nguyen,no,no,Peter,Champ,Jones,Laughing Labs,3001,0,2242,Appeal3,1594756752,1595546726,204,1709388788,Appeal1,1414 Sycamorewood Avenue,,Courtenay,Home,Do Not Call,,Do Not Email,Opt-in,Opt-in,Research update
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Jane,,Smirnov,,0,112566,0,Appeal1,0,0,0,1727629510,Appeal1,1212 Firwood Place,Apt 505,Vernon,Mobile,No Surveys,No Mass Appeals,Do Not Email,Opt-in,Opt-out,Thank you
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Chao,,Kim,,355937,0,3919,Appeal3,1628420869,74881944,124864,1713355235,Appeal2,1414 Sycamorewood Avenue,Unit 555,Williams Lake,Home,No Surveys,,No Surveys,Opt-in,Opt-in,Survey
Gurtrude Schmidt,John Doe,Sven Müller,yes,no,Amina,Cutie,Cohen,,0,644676,0,Appeal3,0,0,0,1711535722,Appeal3,1515 Magnoliawood Lane,,Campbell River,Mobile,,,No Mass Appeals,Opt-out,Opt-out,Holiday Card
Hiroshi Nakamura,Bob Brown,Olga Smirnov,yes,no,Fatima,,Kumar,,0,0,0,Appeal3,0,0,0,1715027894,Appeal3,898 Willowwood Road,Unit 202,New Westminster,Mobile,No Mass Communications,No Mass Communications,No Mass Communications,Opt-out,Opt-in,Thank you
Gurtrude Schmidt,Jane Doe,Chao Nguyen,no,no,Ingrid,,Williams,,0,624763,0,Appeal2,0,0,0,1736847858,Appeal3,1919 Laurelwood Road,Unit 333,Courtenay,Work,Do Not Call,,Do Not Email,Opt-out,Opt-out,Inspiration event
Hiroshi Nakamura,Bob Brown,Priya Gupta,no,no,Sven,Pumpkin,Hernández,,0,0,0,Appeal1,0,0,0,1737070186,Appeal3,565 Cedarwood Boulevard,,Surrey,Work,Do Not Call,No Mass Appeals,No Surveys,Opt-in,Opt-in,Event
